n	k	d_bposd	fom	l	m	A	B
660	4	46	12.8242	15	22	x^0*y^9+x^1*y^12+x^8*y^15	x^8*y^9+x^12*y^2+x^13*y^17
780	4	50	12.8205	15	26	x^0*y^18+x^5*y^0+x^13*y^17	x^7*y^13+x^9*y^24+x^11*y^12
720	4	48	12.8000	45	8	x^23*y^0+x^28*y^4+x^42*y^3	x^1*y^4+x^26*y^6+x^42*y^2
846	4	52	12.7849	9	47	x^1*y^23+x^5*y^40+x^6*y^16	x^3*y^44+x^4*y^6+x^8*y^3
552	4	42	12.7826	6	46	x^0*y^44+x^4*y^25+x^5*y^35	x^3*y^0+x^4*y^45+x^5*y^27
282	4	30	12.7660	3	47	x^0*y^27+x^1*y^16+x^2*y^34	x^0*y^31+x^1*y^18+x^2*y^37
984	4	56	12.7480	12	41	x^1*y^15+x^9*y^33+x^11*y^23	x^0*y^18+x^5*y^30+x^7*y^31
918	4	54	12.7059	27	17	x^8*y^6+x^16*y^10+x^18*y^9	x^7*y^14+x^18*y^5+x^26*y^2
408	4	36	12.7059	12	17	x^4*y^14+x^6*y^14+x^8*y^2	x^6*y^5+x^10*y^12+x^11*y^16
504	4	40	12.6984	14	18	x^2*y^1+x^3*y^2+x^8*y^15	x^4*y^5+x^9*y^12+x^13*y^1
726	4	48	12.6942	33	11	x^8*y^2+x^15*y^3+x^25*y^9	x^12*y^2+x^17*y^2+x^28*y^10
456	4	38	12.6667	57	4	x^33*y^3+x^38*y^3+x^40*y^2	x^1*y^2+x^30*y^0+x^41*y^0
612	4	44	12.6536	51	6	x^10*y^1+x^25*y^0+x^45*y^1	x^9*y^1+x^26*y^4+x^48*y^3
162	8	16	12.6420	3	27	x^1*y^5+x^1*y^7+x^1*y^18	x^0*y^25+x^1*y^1+x^2*y^10
324	4	32	12.6420	3	54	x^1*y^49+x^2*y^2+x^2*y^40	x^1*y^28+x^1*y^33+x^2*y^31
570	8	30	12.6316	15	19	x^3*y^1+x^5*y^9+x^11*y^5	x^1*y^9+x^6*y^3+x^11*y^2
792	4	50	12.6263	11	36	x^0*y^29+x^9*y^27+x^10*y^13	x^3*y^0+x^5*y^1+x^7*y^8
154	6	18	12.6234	11	7	x^5*y^3+x^6*y^5+x^7*y^6	x^1*y^4+x^2*y^1+x^4*y^3
924	4	54	12.6234	21	22	x^4*y^17+x^9*y^10+x^14*y^9	x^6*y^12+x^13*y^1+x^17*y^19
858	4	52	12.6061	33	13	x^19*y^8+x^23*y^3+x^30*y^12	x^24*y^3+x^29*y^10+x^31*y^3
672	4	46	12.5952	12	28	x^0*y^3+x^5*y^16+x^7*y^5	x^3*y^6+x^7*y^12+x^11*y^7
510	4	40	12.5490	17	15	x^2*y^7+x^4*y^6+x^11*y^2	x^1*y^14+x^5*y^7+x^11*y^6
798	4	50	12.5313	21	19	x^1*y^18+x^5*y^18+x^18*y^2	x^7*y^9+x^11*y^12+x^15*y^13
864	4	52	12.5185	8	54	x^1*y^40+x^6*y^42+x^6*y^53	x^4*y^36+x^5*y^44+x^6*y^46
216	4	26	12.5185	27	4	x^5*y^0+x^12*y^1+x^19*y^1	x^22*y^3+x^23*y^3+x^24*y^2
462	4	38	12.5022	11	21	x^1*y^10+x^9*y^11+x^9*y^15	x^0*y^8+x^7*y^1+x^10*y^12
288	4	30	12.5000	16	9	x^4*y^5+x^7*y^0+x^14*y^4	x^2*y^7+x^4*y^6+x^9*y^8
738	4	48	12.4878	41	9	x^9*y^7+x^17*y^5+x^23*y^0	x^3*y^4+x^28*y^3+x^39*y^8
936	4	54	12.4615	39	12	x^1*y^7+x^22*y^6+x^30*y^6	x^31*y^2+x^33*y^11+x^36*y^1
252	4	28	12.4444	9	14	x^6*y^7+x^7*y^12+x^8*y^8	x^3*y^5+x^5*y^5+x^7*y^0
870	4	52	12.4322	15	29	x^3*y^21+x^4*y^4+x^11*y^9	x^4*y^4+x^6*y^19+x^14*y^4
330	4	32	12.4121	33	5	x^7*y^1+x^11*y^4+x^15*y^4	x^3*y^4+x^8*y^1+x^31*y^1
624	4	44	12.4103	12	26	x^0*y^5+x^8*y^0+x^10*y^1	x^6*y^25+x^10*y^18+x^11*y^6
468	12	22	12.4103	18	13	x^4*y^7+x^10*y^3+x^16*y^2	x^0*y^1+x^12*y^4+x^15*y^3
570	4	42	12.3789	15	19	x^5*y^13+x^9*y^14+x^13*y^8	x^1*y^12+x^9*y^12+x^14*y^13
810	4	50	12.3457	45	9	x^6*y^3+x^34*y^3+x^43*y^1	x^5*y^4+x^12*y^1+x^35*y^3
420	4	36	12.3429	21	10	x^1*y^5+x^5*y^7+x^15*y^8	x^2*y^9+x^4*y^0+x^9*y^5
468	4	38	12.3419	39	6	x^10*y^0+x^12*y^4+x^24*y^5	x^27*y^3+x^31*y^2+x^38*y^1
630	4	44	12.2921	35	9	x^0*y^5+x^7*y^0+x^9*y^4	x^17*y^7+x^18*y^5+x^18*y^6
750	4	48	12.2880	25	15	x^14*y^0+x^15*y^14+x^20*y^13	x^5*y^13+x^18*y^3+x^20*y^11
882	4	52	12.2630	9	49	x^2*y^13+x^3*y^4+x^4*y^17	x^1*y^25+x^2*y^4+x^3*y^29
576	4	42	12.2500	48	6	x^23*y^5+x^36*y^5+x^47*y^4	x^6*y^0+x^9*y^4+x^25*y^1
294	4	30	12.2449	7	21	x^1*y^11+x^5*y^16+x^6*y^6	x^0*y^18+x^6*y^11+x^6*y^13
378	4	34	12.2328	9	21	x^0*y^1+x^4*y^1+x^5*y^10	x^3*y^13+x^5*y^4+x^7*y^20
336	4	32	12.1905	12	14	x^1*y^11+x^2*y^10+x^6*y^11	x^6*y^12+x^10*y^12+x^11*y^2
756	4	48	12.1905	18	21	x^1*y^14+x^2*y^18+x^8*y^14	x^16*y^1+x^16*y^20+x^17*y^17
258	4	28	12.1550	3	43	x^0*y^34+x^1*y^7+x^2*y^10	x^0*y^1+x^1*y^10+x^2*y^23
960	4	54	12.1500	12	40	x^3*y^0+x^7*y^3+x^8*y^2	x^3*y^23+x^4*y^17+x^5*y^6
528	4	40	12.1212	8	33	x^3*y^6+x^4*y^1+x^7*y^5	x^1*y^26+x^4*y^3+x^6*y^4
702	4	46	12.0570	9	39	x^1*y^26+x^2*y^3+x^4*y^3	x^6*y^5+x^7*y^27+x^8*y^22
384	4	34	12.0417	48	4	x^4*y^1+x^21*y^3+x^47*y^2	x^15*y^1+x^25*y^1+x^26*y^0
480	4	38	12.0333	60	4	x^49*y^0+x^51*y^3+x^56*y^0	x^5*y^2+x^28*y^1+x^36*y^1
900	4	52	12.0178	30	15	x^23*y^7+x^24*y^7+x^24*y^9	x^1*y^5+x^5*y^7+x^16*y^13
48	16	6	12.0000	12	2	x^2*y^0+x^6*y^1+x^10*y^0	x^0*y^1+x^4*y^1+x^8*y^1
588	4	42	12.0000	21	14	x^1*y^5+x^6*y^4+x^8*y^5	x^8*y^9+x^13*y^12+x^18*y^3
432	4	36	12.0000	18	12	x^4*y^8+x^8*y^9+x^9*y^9	x^5*y^7+x^12*y^6+x^13*y^4
192	16	12	12.0000	8	12	x^0*y^3+x^3*y^4+x^7*y^2	x^3*y^1+x^3*y^11+x^4*y^0
300	4	30	12.0000	15	10	x^0*y^4+x^2*y^0+x^13*y^1	x^1*y^8+x^2*y^2+x^6*y^7
768	4	48	12.0000	48	8	x^7*y^7+x^29*y^2+x^33*y^5	x^3*y^1+x^7*y^6+x^20*y^1
36	12	6	12.0000	6	3	x^0*y^2+x^1*y^2+x^2*y^2	x^0*y^1+x^2*y^1+x^4*y^1
342	4	32	11.9766	57	3	x^20*y^1+x^41*y^2+x^45*y^0	x^42*y^1+x^51*y^0+x^51*y^2
486	12	22	11.9506	9	27	x^3*y^22+x^7*y^24+x^8*y^8	x^3*y^24+x^5*y^13+x^7*y^2
648	4	44	11.9506	9	36	x^1*y^24+x^6*y^7+x^7*y^31	x^4*y^3+x^5*y^8+x^8*y^6
486	4	38	11.8848	27	9	x^1*y^1+x^17*y^6+x^20*y^8	x^0*y^5+x^2*y^6+x^17*y^7
594	4	42	11.8788	33	9	x^11*y^1+x^22*y^3+x^27*y^2	x^16*y^8+x^20*y^0+x^22*y^1
264	4	28	11.8788	44	3	x^3*y^2+x^31*y^1+x^34*y^0	x^19*y^0+x^20*y^2+x^37*y^1
456	8	26	11.8596	38	6	x^1*y^1+x^7*y^5+x^15*y^0	x^27*y^1+x^29*y^3+x^37*y^2
912	4	52	11.8596	12	38	x^2*y^1+x^3*y^34+x^7*y^9	x^4*y^13+x^6*y^21+x^11*y^22
228	4	26	11.8596	3	38	x^0*y^32+x^1*y^11+x^2*y^19	x^0*y^16+x^1*y^14+x^2*y^23
390	4	34	11.8564	39	5	x^6*y^0+x^16*y^4+x^32*y^1	x^4*y^1+x^20*y^0+x^24*y^2
540	4	40	11.8519	6	45	x^0*y^27+x^1*y^33+x^4*y^17	x^2*y^6+x^3*y^20+x^5*y^2
990	4	54	11.7818	9	55	x^2*y^42+x^3*y^52+x^7*y^52	x^4*y^26+x^5*y^0+x^6*y^10
348	4	32	11.7701	6	29	x^0*y^19+x^4*y^20+x^5*y^19	x^0*y^8+x^1*y^0+x^2*y^12
696	8	32	11.7701	6	58	x^1*y^44+x^2*y^27+x^3*y^25	x^0*y^9+x^2*y^11+x^4*y^23
306	4	30	11.7647	51	3	x^9*y^1+x^14*y^1+x^44*y^0	x^27*y^2+x^34*y^2+x^47*y^2
492	4	38	11.7398	41	6	x^29*y^2+x^29*y^4+x^36*y^3	x^9*y^3+x^38*y^4+x^40*y^2
396	4	34	11.6768	33	6	x^9*y^4+x^29*y^3+x^30*y^3	x^16*y^1+x^22*y^2+x^25*y^0
444	4	36	11.6757	37	6	x^4*y^3+x^10*y^1+x^32*y^2	x^0*y^1+x^30*y^0+x^33*y^5
930	4	52	11.6301	15	31	x^4*y^0+x^8*y^6+x^9*y^17	x^3*y^26+x^5*y^16+x^13*y^6
666	4	44	11.6276	37	9	x^11*y^8+x^13*y^6+x^17*y^1	x^3*y^6+x^8*y^5+x^24*y^4
826	6	40	11.6223	59	7	x^9*y^5+x^14*y^2+x^39*y^4	x^24*y^5+x^29*y^3+x^39*y^6
270	4	28	11.6148	15	9	x^4*y^7+x^12*y^6+x^14*y^2	x^1*y^1+x^1*y^2+x^12*y^1
168	6	18	11.5714	12	7	x^4*y^4+x^8*y^6+x^11*y^0	x^0*y^5+x^6*y^1+x^10*y^0
354	4	32	11.5706	59	3	x^3*y^1+x^36*y^0+x^52*y^2	x^3*y^2+x^51*y^1+x^54*y^0
234	4	26	11.5556	9	13	x^3*y^9+x^4*y^2+x^5*y^5	x^3*y^4+x^5*y^4+x^7*y^7
312	4	30	11.5385	3	52	x^0*y^51+x^1*y^16+x^2*y^16	x^0*y^12+x^1*y^44+x^2*y^14
252	6	22	11.5238	21	6	x^6*y^5+x^14*y^2+x^16*y^2	x^0*y^2+x^3*y^0+x^15*y^3
276	4	28	11.3623	3	46	x^0*y^11+x^1*y^37+x^2*y^9	x^0*y^16+x^1*y^29+x^2*y^15
564	4	40	11.3475	6	47	x^0*y^16+x^1*y^16+x^5*y^18	x^0*y^4+x^1*y^40+x^5*y^22
954	4	52	11.3375	53	9	x^2*y^2+x^28*y^6+x^30*y^7	x^8*y^8+x^19*y^7+x^32*y^0
636	8	30	11.3208	53	6	x^1*y^4+x^26*y^2+x^36*y^0	x^14*y^4+x^45*y^0+x^47*y^2
816	4	48	11.2941	51	8	x^9*y^7+x^25*y^7+x^26*y^5	x^41*y^0+x^43*y^1+x^48*y^1
240	4	26	11.2667	8	15	x^1*y^5+x^4*y^9+x^7*y^1	x^4*y^7+x^4*y^11+x^5*y^6
516	4	38	11.1938	6	43	x^0*y^18+x^4*y^28+x^5*y^2	x^3*y^24+x^4*y^12+x^5*y^35
828	4	48	11.1304	23	18	x^10*y^1+x^18*y^12+x^22*y^14	x^1*y^4+x^16*y^8+x^18*y^9
348	8	22	11.1264	58	3	x^31*y^2+x^45*y^1+x^57*y^0	x^0*y^0+x^6*y^2+x^22*y^1
174	4	22	11.1264	3	29	x^0*y^0+x^1*y^3+x^2*y^19	x^0*y^23+x^1*y^14+x^2*y^21
564	8	28	11.1206	6	47	x^0*y^41+x^2*y^4+x^4*y^36	x^1*y^11+x^3*y^24+x^5*y^33
432	12	20	11.1111	36	6	x^2*y^3+x^7*y^2+x^33*y^4	x^17*y^5+x^30*y^0+x^34*y^1
636	4	42	11.0943	53	6	x^2*y^3+x^3*y^4+x^30*y^2	x^15*y^3+x^30*y^4+x^48*y^5
372	4	32	11.0108	31	6	x^1*y^3+x^10*y^1+x^18*y^5	x^14*y^0+x^14*y^1+x^27*y^5
246	4	26	10.9919	3	41	x^0*y^39+x^1*y^38+x^2*y^30	x^0*y^1+x^1*y^19+x^2*y^30
774	4	46	10.9354	43	9	x^8*y^2+x^28*y^4+x^30*y^0	x^8*y^7+x^12*y^8+x^33*y^0
180	4	22	10.7556	18	5	x^9*y^4+x^11*y^3+x^16*y^2	x^7*y^4+x^12*y^4+x^17*y^2
112	12	10	10.7143	7	8	x^0*y^4+x^2*y^2+x^3*y^0	x^0*y^3+x^2*y^3+x^3*y^3
108	8	12	10.6667	9	6	x^1*y^0+x^7*y^1+x^7*y^2	x^2*y^2+x^3*y^5+x^7*y^2
900	12	28	10.4533	15	30	x^0*y^5+x^2*y^16+x^11*y^26	x^3*y^6+x^9*y^22+x^10*y^22
690	8	30	10.4348	15	23	x^0*y^22+x^1*y^4+x^4*y^13	x^0*y^1+x^3*y^10+x^14*y^15
186	4	22	10.4086	3	31	x^0*y^26+x^1*y^24+x^2*y^14	x^0*y^5+x^1*y^15+x^2*y^2
222	4	24	10.3784	3	37	x^0*y^16+x^1*y^6+x^2*y^13	x^0*y^19+x^1*y^27+x^2*y^10
558	10	24	10.3226	31	9	x^10*y^6+x^14*y^8+x^24*y^2	x^15*y^4+x^27*y^4+x^28*y^2
684	4	42	10.3158	57	6	x^11*y^2+x^15*y^4+x^34*y^0	x^2*y^4+x^28*y^1+x^56*y^0
192	4	22	10.0833	8	12	x^2*y^4+x^3*y^5+x^5*y^6	x^0*y^7+x^4*y^8+x^7*y^9
384	8	22	10.0833	4	48	x^0*y^25+x^1*y^21+x^2*y^11	x^0*y^36+x^1*y^22+x^1*y^44
414	4	32	9.8937	9	23	x^0*y^1+x^5*y^10+x^7*y^11	x^0*y^10+x^7*y^3+x^8*y^20
162	4	20	9.8765	27	3	x^0*y^2+x^4*y^1+x^5*y^1	x^6*y^1+x^16*y^2+x^26*y^1
264	8	18	9.8182	22	6	x^6*y^1+x^12*y^5+x^17*y^0	x^8*y^4+x^14*y^0+x^21*y^5
198	4	22	9.7778	33	3	x^7*y^2+x^18*y^0+x^22*y^1	x^4*y^2+x^11*y^0+x^17*y^1
396	8	22	9.7778	6	33	x^1*y^20+x^5*y^18+x^5*y^32	x^0*y^9+x^2*y^29+x^4*y^4
210	8	16	9.7524	5	21	x^1*y^18+x^2*y^6+x^4*y^19	x^0*y^1+x^2*y^14+x^4*y^10
644	6	32	9.5404	23	14	x^9*y^5+x^16*y^1+x^17*y^13	x^1*y^8+x^1*y^10+x^16*y^7
168	4	20	9.5238	12	7	x^1*y^1+x^5*y^4+x^6*y^5	x^2*y^0+x^7*y^0+x^9*y^1
204	4	22	9.4902	2	51	x^0*y^2+x^0*y^25+x^1*y^33	x^0*y^0+x^0*y^8+x^1*y^13
738	12	24	9.3659	41	9	x^18*y^2+x^32*y^5+x^38*y^8	x^18*y^3+x^22*y^0+x^24*y^6
742	6	34	9.3477	53	7	x^8*y^2+x^20*y^4+x^32*y^1	x^29*y^5+x^33*y^3+x^49*y^2
168	8	14	9.3333	6	14	x^1*y^5+x^3*y^5+x^5*y^9	x^0*y^12+x^4*y^3+x^5*y^13
558	4	36	9.2903	9	31	x^1*y^1+x^3*y^30+x^5*y^7	x^2*y^27+x^4*y^30+x^6*y^20
690	4	40	9.2754	15	23	x^1*y^6+x^2*y^11+x^12*y^17	x^5*y^19+x^12*y^17+x^13*y^14
420	12	18	9.2571	7	30	x^0*y^15+x^1*y^25+x^3*y^15	x^1*y^28+x^5*y^6+x^6*y^6
696	4	40	9.1954	6	58	x^0*y^42+x^1*y^30+x^2*y^11	x^2*y^27+x^3*y^47+x^4*y^35
126	8	12	9.1429	21	3	x^3*y^1+x^10*y^0+x^11*y^2	x^2*y^2+x^7*y^2+x^9*y^2
90	8	10	8.8889	3	15	x^0*y^14+x^1*y^11+x^2*y^14	x^2*y^5+x^2*y^6+x^2*y^10
522	4	34	8.8582	9	29	x^2*y^26+x^6*y^3+x^7*y^21	x^0*y^7+x^2*y^23+x^4*y^12
98	6	12	8.8163	7	7	x^0*y^2+x^5*y^0+x^5*y^2	x^4*y^5+x^5*y^3+x^5*y^4
198	12	12	8.7273	3	33	x^0*y^14+x^1*y^12+x^2*y^7	x^0*y^10+x^1*y^23+x^2*y^0
888	4	44	8.7207	12	37	x^0*y^26+x^2*y^27+x^7*y^26	x^5*y^25+x^9*y^36+x^10*y^12
150	4	18	8.6400	5	15	x^0*y^8+x^4*y^9+x^4*y^13	x^2*y^12+x^3*y^4+x^4*y^5
744	4	40	8.6022	31	12	x^4*y^10+x^10*y^9+x^14*y^11	x^10*y^0+x^15*y^8+x^28*y^7
140	12	10	8.5714	14	5	x^1*y^1+x^9*y^3+x^13*y^2	x^6*y^1+x^10*y^3+x^12*y^1
120	16	8	8.5333	10	6	x^2*y^2+x^3*y^1+x^9*y^5	x^2*y^0+x^6*y^4+x^8*y^4
140	6	14	8.4000	35	2	x^1*y^1+x^16*y^0+x^20*y^1	x^1*y^0+x^3*y^1+x^25*y^1
312	8	18	8.3077	26	6	x^6*y^2+x^10*y^0+x^18*y^4	x^8*y^4+x^20*y^5+x^24*y^3
156	4	18	8.3077	3	26	x^0*y^8+x^1*y^3+x^2*y^18	x^0*y^2+x^1*y^11+x^2*y^18
126	4	16	8.1270	21	3	x^3*y^2+x^17*y^2+x^19*y^0	x^2*y^1+x^6*y^1+x^13*y^0
216	12	12	8.0000	18	6	x^0*y^1+x^12*y^2+x^15*y^0	x^7*y^2+x^10*y^3+x^13*y^3
126	10	10	7.9365	3	21	x^0*y^3+x^0*y^4+x^2*y^13	x^1*y^1+x^1*y^2+x^1*y^18
492	8	22	7.8699	6	41	x^0*y^27+x^2*y^23+x^4*y^36	x^1*y^25+x^3*y^12+x^5*y^20
98	12	8	7.8367	7	7	x^0*y^2+x^4*y^3+x^5*y^6	x^3*y^1+x^4*y^5+x^6*y^6
132	4	16	7.7576	2	33	x^0*y^0+x^0*y^2+x^1*y^19	x^0*y^14+x^0*y^21+x^1*y^25
112	6	12	7.7143	8	7	x^3*y^1+x^3*y^3+x^6*y^4	x^3*y^3+x^4*y^5+x^5*y^6
816	8	28	7.6863	12	34	x^0*y^13+x^4*y^9+x^11*y^4	x^1*y^8+x^8*y^17+x^9*y^0
138	4	16	7.4203	23	3	x^5*y^2+x^19*y^0+x^20*y^1	x^0*y^0+x^17*y^1+x^19*y^2
108	4	14	7.2593	2	27	x^0*y^22+x^0*y^23+x^1*y^12	x^0*y^1+x^0*y^5+x^0*y^12
84	6	10	7.1429	3	14	x^0*y^10+x^0*y^12+x^2*y^13	x^0*y^3+x^0*y^12+x^1*y^13
108	12	8	7.1111	6	9	x^3*y^6+x^4*y^7+x^5*y^8	x^0*y^4+x^2*y^0+x^4*y^2
144	4	16	7.1111	6	12	x^2*y^1+x^3*y^0+x^4*y^1	x^0*y^6+x^1*y^8+x^2*y^5
72	8	8	7.1111	3	12	x^0*y^0+x^0*y^2+x^0*y^7	x^0*y^5+x^1*y^2+x^2*y^2
228	8	14	6.8772	3	38	x^0*y^4+x^1*y^0+x^2*y^28	x^0*y^29+x^1*y^35+x^2*y^21
114	4	14	6.8772	19	3	x^4*y^0+x^9*y^1+x^11*y^2	x^6*y^0+x^12*y^2+x^17*y^1
342	12	14	6.8772	57	3	x^0*y^1+x^14*y^1+x^37*y^1	x^9*y^1+x^16*y^1+x^35*y^1
56	6	8	6.8571	7	4	x^1*y^3+x^2*y^2+x^4*y^3	x^3*y^1+x^4*y^3+x^6*y^2
84	4	12	6.8571	21	2	x^0*y^1+x^1*y^1+x^14*y^0	x^1*y^1+x^12*y^0+x^17*y^1
126	6	12	6.8571	9	7	x^1*y^5+x^5*y^1+x^7*y^0	x^6*y^2+x^7*y^1+x^8*y^6
28	12	4	6.8571	2	7	x^0*y^2+x^0*y^4+x^0*y^5	x^1*y^0+x^1*y^4+x^1*y^6
378	10	16	6.7725	9	21	x^2*y^18+x^3*y^13+x^7*y^14	x^0*y^4+x^5*y^0+x^8*y^13
120	4	14	6.5333	15	4	x^0*y^0+x^4*y^1+x^11*y^2	x^2*y^1+x^4*y^2+x^9*y^3
708	4	34	6.5311	6	59	x^0*y^12+x^4*y^7+x^5*y^6	x^1*y^19+x^3*y^27+x^5*y^4
90	4	12	6.4000	3	15	x^0*y^3+x^1*y^7+x^2*y^1	x^0*y^10+x^1*y^13+x^2*y^14
66	4	10	6.0606	3	11	x^0*y^2+x^1*y^3+x^2*y^10	x^0*y^6+x^1*y^5+x^2*y^6
132	8	10	6.0606	2	33	x^1*y^11+x^1*y^22+x^1*y^30	x^0*y^0+x^0*y^25+x^0*y^26
96	4	12	6.0000	3	16	x^0*y^1+x^1*y^12+x^2*y^11	x^0*y^8+x^1*y^9+x^2*y^11
48	8	6	6.0000	6	4	x^0*y^2+x^4*y^3+x^5*y^2	x^0*y^1+x^4*y^0+x^5*y^1
102	4	12	5.6471	17	3	x^6*y^0+x^6*y^2+x^15*y^1	x^1*y^0+x^4*y^2+x^12*y^1
204	8	12	5.6471	34	3	x^23*y^0+x^23*y^1+x^27*y^2	x^2*y^1+x^18*y^0+x^26*y^2
306	12	12	5.6471	3	51	x^0*y^45+x^1*y^34+x^2*y^47	x^0*y^17+x^1*y^42+x^2*y^37
72	4	10	5.5556	4	9	x^2*y^3+x^2*y^7+x^3*y^8	x^0*y^6+x^2*y^1+x^2*y^8
434	6	20	5.5300	31	7	x^0*y^4+x^12*y^0+x^14*y^6	x^7*y^6+x^20*y^2+x^22*y^1
70	6	8	5.4857	7	5	x^0*y^1+x^2*y^3+x^6*y^1	x^3*y^3+x^4*y^0+x^6*y^4
96	8	8	5.3333	8	6	x^1*y^0+x^4*y^2+x^6*y^4	x^0*y^1+x^4*y^5+x^5*y^3
390	8	16	5.2513	39	5	x^0*y^3+x^2*y^1+x^11*y^0	x^7*y^2+x^8*y^1+x^14*y^3
888	8	24	5.1892	37	12	x^4*y^10+x^11*y^8+x^22*y^0	x^27*y^4+x^28*y^2+x^35*y^0
42	6	6	5.1429	3	7	x^0*y^5+x^2*y^3+x^2*y^6	x^0*y^3+x^2*y^0+x^2*y^2
84	12	6	5.1429	21	2	x^2*y^1+x^13*y^1+x^15*y^1	x^0*y^0+x^10*y^0+x^16*y^0
156	8	10	5.1282	26	3	x^2*y^2+x^6*y^0+x^14*y^1	x^4*y^1+x^14*y^2+x^24*y^0
78	4	10	5.1282	3	13	x^0*y^1+x^1*y^0+x^2*y^4	x^0*y^7+x^1*y^10+x^2*y^10
612	12	16	5.0196	34	9	x^5*y^7+x^6*y^1+x^10*y^4	x^5*y^5+x^10*y^2+x^26*y^8
30	4	6	4.8000	5	3	x^0*y^0+x^3*y^1+x^4*y^2	x^2*y^0+x^4*y^1+x^4*y^2
60	8	6	4.8000	2	15	x^0*y^10+x^0*y^11+x^0*y^12	x^0*y^1+x^0*y^3+x^0*y^8
54	4	8	4.7407	3	9	x^0*y^7+x^1*y^0+x^2*y^1	x^0*y^2+x^1*y^0+x^2*y^8
900	16	16	4.5511	30	15	x^8*y^7+x^24*y^9+x^26*y^1	x^12*y^3+x^12*y^7+x^16*y^10
60	4	8	4.2667	5	6	x^0*y^5+x^2*y^3+x^4*y^4	x^1*y^1+x^3*y^0+x^3*y^2
30	8	4	4.2667	5	3	x^0*y^0+x^2*y^1+x^4*y^0	x^2*y^0+x^3*y^2+x^4*y^0
36	4	6	4.0000	2	9	x^0*y^2+x^1*y^0+x^1*y^1	x^0*y^0+x^0*y^8+x^1*y^4
306	8	12	3.7647	51	3	x^1*y^2+x^10*y^1+x^28*y^0	x^10*y^1+x^17*y^1+x^39*y^1
36	8	4	3.5556	2	9	x^0*y^0+x^0*y^4+x^0*y^8	x^1*y^0+x^1*y^1+x^1*y^8
18	4	4	3.5556	3	3	x^0*y^0+x^0*y^1+x^2*y^1	x^0*y^0+x^0*y^1+x^1*y^0
84	8	6	3.4286	14	3	x^1*y^2+x^5*y^0+x^5*y^1	x^4*y^0+x^6*y^1+x^10*y^2
28	6	4	3.4286	7	2	x^2*y^0+x^4*y^0+x^5*y^0	x^0*y^0+x^1*y^0+x^5*y^1
56	12	4	3.4286	14	2	x^1*y^0+x^4*y^0+x^9*y^0	x^7*y^0+x^9*y^0+x^13*y^0
42	4	6	3.4286	3	7	x^0*y^0+x^1*y^5+x^2*y^0	x^0*y^2+x^1*y^6+x^2*y^1
234	8	10	3.4188	39	3	x^0*y^2+x^25*y^0+x^38*y^1	x^15*y^1+x^34*y^1+x^38*y^1
48	4	6	3.0000	3	8	x^0*y^5+x^1*y^2+x^2*y^6	x^0*y^0+x^1*y^5+x^2*y^4
576	12	12	3.0000	24	12	x^3*y^10+x^4*y^3+x^17*y^8	x^1*y^7+x^12*y^2+x^23*y^0
12	8	2	2.6667	3	2	x^0*y^0+x^1*y^0+x^2*y^0	x^0*y^1+x^1*y^1+x^2*y^1
24	4	4	2.6667	6	2	x^3*y^1+x^4*y^0+x^5*y^0	x^2*y^1+x^3*y^0+x^4*y^1
54	8	4	2.3704	3	9	x^0*y^3+x^1*y^2+x^2*y^1	x^0*y^3+x^1*y^7+x^2*y^5
90	12	4	2.1333	3	15	x^0*y^5+x^1*y^11+x^2*y^11	x^0*y^8+x^1*y^14+x^2*y^8
18	8	2	1.7778	3	3	x^0*y^2+x^1*y^0+x^2*y^1	x^0*y^2+x^1*y^2+x^2*y^2
630	10	10	1.5873	15	21	x^7*y^11+x^9*y^12+x^10*y^0	x^10*y^18+x^14*y^6+x^14*y^17
12	4	2	1.3333	3	2	x^0*y^0+x^1*y^1+x^2*y^0	x^0*y^0+x^1*y^1+x^2*y^1
24	8	2	1.3333	6	2	x^0*y^1+x^2*y^1+x^4*y^0	x^0*y^0+x^2*y^0+x^4*y^0
276	8	6	1.0435	6	23	x^1*y^4+x^3*y^15+x^5*y^0	x^1*y^15+x^3*y^3+x^5*y^14
966	6	4	0.0994	21	23	x^2*y^13+x^8*y^13+x^20*y^13	x^2*y^9+x^5*y^18+x^18*y^20
